バス停名,土日祝日運休,毎日,毎日,毎日,毎日,土日祝日運休,毎日
原駅,・・,7:20,8:40,10:40,14:05,14:45,16:55
原駅入口,・・,7:21,8:41,10:41,14:06,14:46,16:56
原小学校前,・・,7:22,8:42,10:42,14:07,14:47,16:57
原中学校入口,・・,7:22,8:42,10:42,14:07,14:47,16:57
東原新田,・・,7:23,8:43,10:43,14:08,14:48,16:58
原新田,・・,7:24,8:44,10:44,14:09,14:49,16:59
東一本松,・・,↓,↓,10:45,14:10,↓,17:00
一本松,・・,↓,↓,10:46,14:11,↓,17:01
西一本松,・・,↓,↓,10:47,14:12,↓,17:02
カインズ南,・・,↓,↓,10:49,14:14,↓,17:04
沼津登録事務所前,・・,7:26,8:46,↓,↓,14:51,↓
東芝ライテック,・・,7:27,8:47,↓,↓,14:52,↓
アクアプラザ,・・,7:28,8:48,10:53,14:18,14:53,17:08
浮島地区センター,・・,↓,↓,10:55,14:20,14:55,17:10
東海大入口,・・,↓,↓,10:55,14:20,14:55,17:10
荒久,6:50,↓,↓,↓,↓,↓,↓
東荒久,6:51,↓,↓,↓,↓,↓,↓
石川,6:51,7:31,8:51,↓,↓,↓,↓
吹上,6:52,7:32,8:52,↓,↓,↓,↓
平沼,6:53,7:33,8:53,↓,↓,↓,↓
平沼中,6:53,7:34,8:54,10:56,14:21,14:56,17:11
東平沼,6:55,7:36,8:56,10:58,14:23,14:58,17:13
西井出,6:55,7:36,8:56,10:58,14:23,14:58,17:13
東井出,6:56,7:37,8:57,10:59,14:24,14:59,17:14
井出橋,6:57,7:38,8:58,11:00,14:25,15:00,17:15
根古屋,6:58,7:39,8:59,11:01,14:26,15:01,17:16
東根古屋,6:59,7:40,9:00,11:02,14:27,15:02,17:17
根古屋南,6:59,7:40,9:00,11:02,14:27,15:02,17:17
八石,7:00,7:41,9:01,11:03,14:28,15:03,17:18
三合橋,7:00,7:41,9:01,11:03,14:28,15:03,17:18
原団地入口,7:01,7:42,9:02,11:04,14:29,15:04,17:19
西郵便局前,7:02,7:43,9:03,11:05,14:30,↓,↓
沼川橋,7:03,7:44,9:04,11:06,14:31,↓,↓
市営原団地,↓,↓,↓,↓,↓,15:05,17:20
市営団地入口,↓,↓,↓,↓,↓,15:06,17:21
診療所前,↓,↓,↓,↓,↓,15:06,17:21
沼津特別支援学校,↓,↓,↓,↓,↓,15:07,17:22
原東小学校前,↓,↓,↓,↓,↓,15:07,17:22
大塚公園,↓,↓,↓,↓,↓,15:09,17:24
大塚新田公会堂,↓,↓,↓,↓,↓,15:09,17:24
大塚新田,↓,↓,↓,↓,↓,15:10,17:25
大塚,↓,↓,↓,↓,↓,15:10,17:25
東町,↓,↓,↓,↓,↓,15:11,17:26
白隠前,↓,↓,↓,↓,↓,15:12,17:27
原警察署前,7:04,7:45,9:05,11:07,14:32,15:13,17:28
西町,7:04,7:45,9:05,11:07,14:32,15:13,17:28
原駅入口,7:05,7:46,9:06,11:08,14:33,15:14,17:29
原駅,7:08,7:49,9:09,11:10,14:35,15:17,17:32
