運行日バス停名,毎日,毎日,土日祝日運休,土日祝日運休,土日祝日運休,土日祝日運休,毎日,土日祝日運休,毎日,土日祝日運休,土日祝日運休,土日祝日運休,毎日,土日祝日運休,毎日
片浜駅,8:55,9:30,10:00,10:30,11:15,12:35,13:05,13:40,14:10,14:50,15:45,16:20,16:50,17:30,18:00
片浜駅入口,8:55,9:30,10:00,10:30,11:15,12:35,13:05,13:40,14:10,14:50,15:45,16:20,16:50,17:30,18:00
今沢,8:56,9:31,10:01,10:31,11:16,12:36,13:06,13:41,14:11,14:51,15:46,16:21,16:51,17:31,18:01
西今沢,8:56,9:31,10:01,10:31,11:16,12:36,13:06,13:41,14:11,14:51,15:46,16:21,16:51,17:31,18:01
今沢団地入口,8:58,9:33,10:03,10:33,11:18,12:38,13:08,13:43,14:13,14:53,15:48,16:23,16:53,17:33,18:03
今沢団地中央公園,8:58,9:33,10:03,10:33,11:18,12:38,13:08,13:43,14:13,14:53,15:48,16:23,16:53,17:33,18:03
北今沢,8:59,9:34,10:04,10:34,11:19,12:39,13:09,13:44,14:14,14:54,15:49,16:24,16:54,17:34,18:04
今沢小中学校,8:59,↓,10:04,↓,11:19,12:39,↓,13:44,14:14,↓,15:49,16:24,↓,17:34,18:04
東原南,8:59,↓,10:04,↓,11:19,12:39,↓,13:44,14:14,↓,15:49,16:24,↓,17:34,18:04
あしたか学園入口,9:00,↓,10:05,↓,11:20,12:40,↓,13:45,14:15,↓,15:50,16:25,↓,17:35,18:05
中田通り,9:00,↓,10:05,↓,11:20,12:40,↓,13:45,14:15,↓,15:50,16:25,↓,17:35,18:05
東原,9:01,↓,10:06,↓,11:21,12:41,↓,13:46,14:16,↓,15:51,16:26,↓,17:36,18:06
北今沢東,↓,9:35,↓,10:35,↓,↓,13:10,↓,↓,14:55,↓,↓,16:55,↓,↓
ゆうあいクリニック前,↓,9:35,↓,10:35,↓,↓,13:10,↓,↓,14:55,↓,↓,16:55,↓,↓
関谷レディースクリニック前,↓,9:36,↓,10:36,↓,↓,13:11,↓,↓,14:56,↓,↓,16:56,↓,↓
愛鷹中学校入口,9:02,9:37,10:07,10:37,11:22,12:42,13:12,13:47,14:17,14:57,15:52,16:27,16:57,17:37,18:07
西椎路,9:03,9:38,10:08,10:38,11:23,12:43,13:13,13:48,14:18,14:58,15:53,16:28,16:58,17:38,18:08
沼津信用金庫愛鷹支店前,9:04,9:39,10:09,10:39,11:24,12:44,13:14,13:49,14:19,14:59,15:54,16:29,16:59,17:39,18:09
藤棚,9:05,9:40,10:10,10:40,11:25,12:45,13:15,13:50,14:20,15:00,15:55,16:30,17:00,17:40,18:10
沼津市立病院,9:07,9:42,10:12,10:42,11:27,12:47,13:17,13:52,14:22,15:02,15:57,16:32,17:02,17:42,18:12
北消防署西分署前,9:07,9:42,10:12,10:42,11:27,12:47,13:17,13:52,14:22,15:02,15:57,16:32,17:02,17:42,18:12
八反田,9:08,9:43,10:13,10:43,11:28,12:48,13:18,13:53,14:23,15:03,15:58,16:33,17:03,17:43,18:13
中坪北,9:08,9:43,10:13,10:43,11:28,12:48,13:18,13:53,14:23,15:03,15:58,16:33,17:03,17:43,18:13
中坪,9:09,9:44,10:14,10:44,11:29,12:49,13:19,13:54,14:24,15:04,15:59,16:34,17:04,17:44,18:14
大諏訪,9:10,9:45,10:15,10:45,11:30,12:50,13:20,13:55,14:25,15:05,16:00,16:35,17:05,17:45,18:15
大諏訪天神前,9:11,9:46,10:16,10:46,11:31,12:51,13:21,13:56,14:26,15:06,16:01,16:36,17:06,17:46,18:16
東松長,9:12,9:47,10:17,10:47,11:32,12:52,13:22,13:57,14:27,15:07,16:02,16:37,17:07,17:47,18:17
松長,9:13,9:48,10:18,10:48,11:33,12:53,13:23,13:58,14:28,15:08,16:03,16:38,17:08,17:48,18:18
片浜駅入口,9:14,9:49,10:19,10:49,11:34,12:54,13:24,13:59,14:29,15:09,16:04,16:39,17:09,17:49,18:19
片浜駅,9:17,9:51,10:22,10:51,11:37,12:57,13:26,14:02,14:32,15:11,16:07,16:42,17:11,17:52,18:22
